id,first_name,last_name,email,phone_number,date_of_birth,billing_address_street_number,billing_address_street_name,billing_address_street_suffix,billing_address_city,billing_address_state,billing_address_country,billing_address_postcode,current_shipping_address_street_number,current_shipping_address_street_name,current_shipping_address_street_suffix,current_shipping_address_city,current_shipping_address_state,current_shipping_address_country,current_shipping_address_postcode,current_payment_method
1,Eba,Weildish,eweildish0@tripod.com,16084839112,12/01/1992,1530,Badeau,Circle,Albuquerque,New Mexico,United States,87140,80040,Dovetail,Alley,Hyattsville,Maryland,United States,20784,Apple Pay
2,Karrah,Tipens,ktipens1@privacy.gov.au,16897993182,28/02/1997,245,Fairview,Place,Boise,Idaho,United States,83705,99,Cherokee,Crossing,Miami,Florida,United States,33245,Google Pay
3,Desiree,Curuclis,dcuruclis2@barnesandnoble.com,12273401970,27/02/1981,549,Ludington,Terrace,Columbia,South Carolina,United States,29220,694,Northport,Plaza,Rochester,New York,United States,14639,Credit Card
4,Glori,Girardy,ggirardy3@harvard.edu,10304339858,1/05/1992,4,Linden,Crossing,Long Beach,California,United States,90831,3816,Artisan,Plaza,Richmond,Virginia,United States,23225,Cash
5,Crista,Gaber,cgaber4@epa.gov,15020382551,1/08/1978,5,Colorado,Plaza,North Port,Florida,United States,34290,8,Esch,Pass,Memphis,Tennessee,United States,38168,Debit Card
6,Peria,Akram,pakram5@about.me,10633109562,13/01/1992,53,Donald,Way,North Little Rock,Arkansas,United States,72199,3,Washington,Trail,Charleston,West Virginia,United States,25331,Cash
7,Alix,Gerrit,agerrit6@about.me,10266226142,28/07/1971,47,Rockefeller,Junction,Tampa,Florida,United States,33615,780,Parkside,Road,Chicago,Illinois,United States,60691,Credit Card
8,Brenna,Keppe,bkeppe7@indiatimes.com,11180524618,9/01/1995,65,Lyons,Court,Charlotte,North Carolina,United States,28210,4,South,Crossing,Huntington,West Virginia,United States,25775,Debit Card
9,Christian,Marshman,cmarshman8@constantcontact.com,16336266987,29/07/1987,78132,Crownhardt,Crossing,Escondido,California,United States,92030,6,Harbort,Place,Raleigh,North Carolina,United States,27690,Credit Card
10,Bevin,Molloy,bmolloy9@360.cn,12318737931,10/03/2000,4,6th,Crossing,Pittsburgh,Pennsylvania,United States,15266,2386,Dexter,Circle,Austin,Texas,United States,78769,Cash
11,Bert,Crocroft,bcrocrofta@umich.edu,12397604680,11/08/1972,0,Grasskamp,Park,Charlotte,North Carolina,United States,28284,97,Mitchell,Trail,Inglewood,California,United States,90305,Credit Card
12,Joana,Dhenin,jdheninb@apple.com,14666419492,10/01/1987,6,Chinook,Road,White Plains,New York,United States,10606,9,Main,Junction,Hamilton,Ohio,United States,45020,Cash
13,Orson,Pagan,opaganc@usgs.gov,13195660182,2/06/1970,1769,Green Ridge,Pass,Columbia,South Carolina,United States,29240,794,Golf Course,Junction,Sacramento,California,United States,94207,Apple Pay
14,Wylma,Marten,wmartend@canalblog.com,14303272800,29/01/2001,417,Eastlawn,Point,Decatur,Illinois,United States,62525,23,Ramsey,Way,Longview,Texas,United States,75605,Debit Card
15,Dicky,Senecaux,dsenecauxe@xing.com,18192525412,17/12/1996,6881,1st,Street,Los Angeles,California,United States,90087,0,Center,Hill,Davenport,Iowa,United States,52804,Bank Transfer
16,Keriann,Pregal,kpregalf@foxnews.com,13566125654,18/04/1997,91,Mallory,Drive,Nashville,Tennessee,United States,37210,4621,Gina,Plaza,Boulder,Colorado,United States,80328,Cheque
